Date,NAV
20121009,180.73
20121010,179.66
20121011,179.74
20121012,179.24
20121015,180.69
20121016,182.53
20121017,183.3
20121018,182.85
20121019,179.85
20121022,179.93
20121023,177.37
20121024,176.83
20121025,177.32
20121026,177.24
20121031,177.31
20121101,179.2
20121102,177.55
20121105,177.95
20121106,179.38
20121107,175.36
20121108,173.23
20121109,173.51
20121112,173.52
20121113,172.88
20121114,170.56
20121115,170.25
20121116,171.09
20121119,174.49
20121120,174.63
20121121,175.04
20121123,177.37
20121126,177.02
20121127,176.12
20121128,177.59
20121129,178.37
20121130,178.43
20121203,177.57
20121204,177.3
20121205,177.64
20121206,178.26
20121207,178.81
20121210,178.87
20121211,180.03
20121212,180.08
20121213,179.01
20121214,178.3
20121217,180.4
20121218,182.49
20121219,181.15
20121220,182.15
20121221,180.48
20121224,180.07
20121226,179.19
20121227,179.01
20121228,177.07
20121231,180.03
20130102,184.7
20130103,184.29
20130104,185.21
20130107,184.64
20130108,184.11
20130109,184.61
20130110,185.98
20130111,186.02
20130114,185.84
20130115,186.09
20130116,186.14
20130117,187.18
20130118,187.84
20130122,188.67
20130123,188.94
20130124,188.99
20130125,190.02
20130128,189.67
20130129,190.61
20130130,189.98
20130131,189.51
20130201,191.42
20130204,189.22
20130205,191.22
20130206,191.36
20130207,191.1
20130208,192.17
20130211,192.06
20130212,192.37
20130213,192.57
20130214,192.7
20130215,192.47
20130219,193.89
20130220,191.53
20130221,190.4
20130222,192.1
20130225,188.63
20130226,189.82
20130227,192.28
20130228,192.1
20130301,192.57
20130304,193.52
20130305,195.37
20130306,195.63
20130307,196
20130308,196.88
20130311,197.53
20130312,197.1
20130313,197.43
20130314,198.51
20130315,198.19
20130318,197.11
20130319,196.64
20130320,197.98
20130321,196.31
20130322,197.72
20130325,197.06
20130326,198.66
20130327,198.57
20130328,199.37
20130401,198.52
20130402,199.52
20130403,197.47
20130404,198.28
20130405,197.45
20130408,198.77
20130409,199.53
20130410,201.96
20130411,202.67
20130412,202.12
20130415,197.58
20130416,200.4
20130417,197.58
20130418,196.26
20130419,198.01
20130422,198.93
20130423,201.02
20130424,201.04
20130425,201.89
20130426,201.51
20130429,202.94
20130430,203.46
20130501,201.59
20130502,203.51
20130503,205.7
20130506,206.06
20130507,207.15
20130508,208.08
20130509,207.4
20130510,208.32
20130513,208.35
20130514,210.54
20130515,211.7
20130516,210.66
20130517,212.83
20130520,212.69
20130521,213.04
20130522,211.29
20130523,210.68
20130524,210.6
20130528,211.95
20130529,210.46
20130530,211.24
20130531,208.27
20130603,209.53
20130604,208.39
20130605,205.61
20130606,207.38
20130607,210.07
20130610,210.01
20130611,207.87
20130612,206.18
20130613,209.26
20130614,208.04
20130617,209.63
20130618,211.27
20130619,208.35
20130620,203.23
20130621,203.71
20130624,201.31
20130625,203.23
20130626,205.24
20130627,206.55
20130628,205.65
20130701,206.78
20130702,206.7
20130703,206.87
20130705,208.97
20130708,210.17
20130709,211.7
20130710,211.75
20130711,214.67
20130712,215.31
20130715,215.64
20130716,214.84
20130717,215.44
20130718,216.53
20130719,216.85
20130722,217.29
20130723,216.91
20130724,216.11
20130725,216.65
20130726,216.82
20130729,216.03
20130730,216.15
20130731,216.13
20130801,218.85
20130802,219.21
20130805,218.9
20130806,217.66
20130807,216.89
20130808,217.77
20130809,217.05
20130812,216.8
20130813,217.43
20130814,216.35
20130815,213.29
20130816,212.58
20130819,211.33
20130820,212.15
20130821,210.96
20130822,212.78
20130823,213.67
20130826,212.82
20130827,209.49
20130828,210.05
20130829,210.52
20130830,209.9
20130903,210.76
20130904,212.52
20130905,212.79
20130906,212.83
20130909,215
20130910,216.6
20130911,217.28
20130912,216.62
20130913,217.23
20130916,218.48
20130917,219.43
20130918,222.14
20130919,221.77
20130920,220.19
20130923,219.15
20130924,218.6
20130925,217.99
20130926,218.78
20130927,217.89
20130930,216.59
20131001,218.32
20131002,218.22
20131003,216.27
20131004,217.79
20131007,215.91
20131008,213.37
20131009,213.51
20131010,218.26
20131011,219.63
20131014,220.52
20131015,218.97
20131016,222.04
20131017,223.54
20131018,225.02
20131021,225.03
20131022,226.34
20131023,225.27
20131024,226.03
20131025,227.06
20131028,227.38
20131029,228.66
20131030,227.59
20131031,226.76
20131101,227.4
20131104,228.22
20131105,227.62
20131106,228.75
20131107,225.78
20131108,228.83
20131111,229.02
20131112,228.52
20131113,230.45
20131114,231.61
20131115,232.58
20131118,231.74
20131119,231.29
20131120,230.46
20131121,232.35
20131122,233.53
20131125,233.27
20131126,233.34
20131127,233.99
20131129,233.83
20131202,233.24
20131203,232.49
20131204,232.24
20131205,231.21
20131206,233.85
20131209,234.29
20131210,233.52
20131211,230.93
20131212,230.11
20131213,230.09
20131216,231.55
20131217,230.84
20131218,234.71
20131219,234.59
20131220,235.77
20131223,237.03
20131224,237.75
20131226,238.89
20131227,238.84
20131230,238.81
20131231,239.77
20140102,237.71
20140103,237.65
