Date;Food;Beer;Smoke;Games;Books;Hshld;Clths;Hlth;Chems;Txtls;Cnstr;Steel;FabPr;ElcEq;Autos;Carry;Mines;Coal;Oil;Util;Telcm;Servs;BusEq;Paper;Trans;Whlsl;Rtail;Meals;Fin;Other
193201;  -1.57;  -5.97;   8.17;  16.99;  -5.34;   1.35;   4.80;  -2.66;  -5.86;   1.01;  -0.55;   3.16;   1.64; -14.22;  -7.87;  12.32;   5.69;   5.81;  -5.18;  -2.53;  -4.04;  -0.80;  -3.56;  -0.66;   8.07;  -0.34;   1.14;  -3.86;   3.75;   5.34
193202;   7.49;  17.80;   3.94;   6.23;  -1.26;   2.93;   1.11;   2.00;   8.88;   3.12;  10.25;   4.88;  -1.38;   8.59;   1.95;   1.63;  -3.03;  -3.55;   9.12;   7.08;  11.63;   2.09;   0.52;  11.73;  -4.20;   7.47;   3.97;   7.43;  13.61;   3.49
193203;  -7.22; -11.29;  -4.92; -22.46; -11.73; -16.73;  -2.37;  -6.50; -11.68;  -3.98; -14.16; -16.49; -12.62; -17.28; -22.15; -21.47;  -5.85; -16.84;  -0.67; -10.40; -10.13;  -1.44;  -7.08;  -8.33; -17.96; -19.72;  -8.62;  -7.31; -15.41; -14.35
193204; -13.25;  -9.82;  -9.91; -23.96; -14.17;  -8.67;  -5.54; -19.77; -33.37; -12.21; -15.94; -19.46; -20.28; -22.97; -28.57; -15.29; -14.87; -17.97; -14.17; -15.65; -12.39;  -4.95; -27.07; -29.30; -24.79; -11.21; -15.26; -19.76; -18.91; -17.19
193205; -22.53; -25.30; -21.75; -44.22; -26.43; -21.02;  -3.41; -34.77; -10.20; -23.15; -18.37; -22.70; -21.31; -33.74; -18.64; -25.00; -11.16; -21.47;  -4.92; -27.29; -10.81;  -2.19; -15.53; -15.71; -34.74; -25.97; -29.55; -26.11; -30.44; -14.81
193206;  -0.39;  19.26;   5.80;  11.05; -23.40; -15.69;  -5.02;  10.87;  -5.07;  -4.40;   3.09;   2.04;  -5.79;  10.12;  -7.44;   9.65; -10.21;  -3.43;   6.15;   1.46;  -9.71; -20.18;   0.48;  -3.62;  -2.21;  -6.96;  -0.39;  -0.21;   6.11;  -1.96
193207;  30.71;  19.60;  24.68;  66.15;  45.80;  34.86; -21.00;  29.21;  29.14;  30.31;  34.67;  62.13;  43.69;  55.49;  44.60;  45.49;  46.12;  56.22;  33.52;  29.42;  16.70;  24.56;  19.35;  21.49;  61.33;  16.36;  27.37;  25.40;  52.05;  30.54
193208;  24.23;  40.15;  17.66;  66.68;  40.45;  26.43;  27.22;  36.14;  36.38;  62.01;  37.59;  59.10;  52.13;  50.01;  48.57;  44.82;  29.60; 125.43;  17.29;  43.55;  28.17;  -0.78;  33.23;  43.51;  65.36;  71.08;  33.10;  24.50;  59.47;  37.89
193209;  -1.41;  -3.05;   0.11; -10.24;   0.99;   0.24;   1.28; -11.93;   5.75; -12.75;   2.34; -10.04;  -4.14;  -6.01;   5.77;  10.27;  -5.68;  -5.90; -10.59;  -4.65;   0.31;  -1.81;  -4.27;  -3.09;  -2.58;  14.99;   3.00;   1.34;  -6.98;  -9.87
193210;  -9.44; -12.67; -13.98; -25.97; -22.53; -10.94;  -8.71; -18.56; -16.15; -12.99; -15.69; -15.82; -22.38; -21.31; -24.62; -21.27;  -7.13; -21.24;  -3.00; -10.83;  -8.13;  -2.79; -11.78;  -3.93; -19.62; -20.16; -12.54; -14.21; -17.17;  -8.23
193211;  -6.65;  -5.26;  -8.51; -10.51;  -3.90;  -5.33;  -4.22;   5.33;  -1.71;  -9.63;  -6.00; -22.50;  -6.64;  -9.38;  -3.07;  -6.91;   2.32; -19.43;  -4.03;  -3.62;  -1.13;   0.24;  -5.02;  -2.82;  -9.59; -10.38;  -5.54;  -6.60;  -3.39;  -9.94
193212;   7.20;   6.51;   0.82; -12.67; -11.73;   1.58;  -1.62;   6.78;  13.07;  -6.88;   0.98;  -8.31;   2.75;   7.35;   5.26;   6.14;  -1.55;  -7.25;   0.34;   9.15;   3.68;  -1.50;   7.56;   9.26;   5.87; -10.07;   5.12;   3.66;   8.86;  -3.67
193301;   0.66; -15.51;  11.41; -24.21;   0.68;  -7.35;  10.58;  -1.14;   4.16;  -3.06;  -1.08;   2.64;   6.69;   0.33;   0.83;  10.51;  -0.18;   9.49;  -3.27;  -4.40;   0.31;   9.12;   4.28;  10.50;  14.34;  -6.30;  -2.65;   9.09;   1.51;  -1.40
193302;  -9.68; -11.59;  -8.55; -19.45; -20.79; -21.21;  -4.50; -10.96; -16.46;  -6.46; -16.74; -17.04; -23.37; -22.44; -25.06; -17.73;  -8.18; -23.41; -13.02; -19.91;  -7.77; -10.68; -14.13; -12.80; -16.39;  -7.80; -18.19; -18.24; -20.15;  -6.27
193303;  12.13;  25.52;   7.86; -14.80;  15.80;  11.59;   8.87;  -3.21;   5.04;   2.55;  12.57;  14.62;  23.92;   7.17;   9.61;  13.15;   8.76;   9.67;   3.63; -13.05;  -6.20;   1.03;   7.88;   6.82;   6.96;   0.07;   8.87;   0.69;  -6.92;   1.08
193304;  33.39;  29.02;  33.05;  71.90;  52.26;  58.40;  41.40;  37.14;  46.65;  52.97;  39.77;  83.90;  48.68;  59.58;  81.90;  48.23;  26.38;  35.74;  39.47;  25.69;  13.22;   1.26;  33.86;  43.42;  27.90;  46.26;  43.52;   9.89;  42.82;  45.29
