ibes_ticker,cusip,oftic,cname,period_end,pdicity,measure,actual_eps,announce_date
EL,51843910,EL,ESTEE LAUDER COS,2012-06-30,QTR,EPS,0.17,2012-08-14
EL,51843910,EL,ESTEE LAUDER COS,2012-09-30,QTR,EPS,0.79,2012-11-01
EL,51843910,EL,ESTEE LAUDER COS,2012-12-31,QTR,EPS,1.02,2013-02-05
EL,51843910,EL,ESTEE LAUDER COS,2013-03-31,QTR,EPS,0.45,2013-05-02
EL,51843910,EL,ESTEE LAUDER COS,2013-06-30,QTR,EPS,0.28,2013-08-15
EL,51843910,EL,ESTEE LAUDER COS,2013-09-30,QTR,EPS,0.76,2013-10-31
EL,51843910,EL,ESTEE LAUDER COS,2013-12-31,QTR,EPS,1.09,2014-02-05
EL,51843910,EL,ESTEE LAUDER COS,2014-03-31,QTR,EPS,0.64,2014-05-02
EL,51843910,EL,ESTEE LAUDER COS,2014-06-30,QTR,EPS,0.66,2014-08-15
EL,51843910,EL,ESTEE LAUDER COS,2014-09-30,QTR,EPS,0.59,2014-11-04
EL,51843910,EL,ESTEE LAUDER COS,2014-12-31,QTR,EPS,1.13,2015-02-05
EL,51843910,EL,ESTEE LAUDER,2015-03-31,QTR,EPS,0.72,2015-05-05
EL,51843910,EL,ESTEE LAUDER,2015-06-30,QTR,EPS,0.4,2015-08-17
EL,51843910,EL,ESTEE LAUDER,2015-09-30,QTR,EPS,0.82,2015-11-02
EL,51843910,EL,ESTEE LAUDER,2015-12-31,QTR,EPS,1.22,2016-02-05
EL,51843910,EL,ESTEE LAUDER,2016-03-31,QTR,EPS,0.73,2016-05-03
EL,51843910,EL,ESTEE LAUDER,2016-06-30,QTR,EPS,0.43,2016-08-19
EL,51843910,EL,ESTEE LAUDER,2016-09-30,QTR,EPS,0.84,2016-11-02
EL,51843910,EL,ESTEE LAUDER,2016-12-31,QTR,EPS,1.22,2017-02-02
EL,51843910,EL,ESTEE LAUDER,2017-03-31,QTR,EPS,0.91,2017-05-03
EL,51843910,EL,ESTEE LAUDER,2017-06-30,QTR,EPS,0.51,2017-08-18
EL,51843910,EL,ESTEE LAUDER,2017-09-30,QTR,EPS,1.21,2017-11-01
EL,51843910,EL,ESTEE LAUDER,2017-12-31,QTR,EPS,1.52,2018-02-02
EL,51843910,EL,ESTEE LAUDER,2018-03-31,QTR,EPS,1.17,2018-05-02
EL,51843910,EL,ESTEE LAUDER,2018-06-30,QTR,EPS,0.61,2018-08-20
EL,51843910,EL,ESTEE LAUDER,2018-09-30,QTR,EPS,1.41,2018-10-31
EL,51843910,EL,ESTEE LAUDER,2018-12-31,QTR,EPS,1.74,2019-02-05
EL,51843910,EL,ESTEE LAUDER,2019-03-31,QTR,EPS,1.55,2019-05-01
EL,51843910,EL,ESTEE LAUDER,2019-06-30,QTR,EPS,0.64,2019-08-19
EL,51843910,EL,ESTEE LAUDER,2019-09-30,QTR,EPS,1.67,2019-10-31
EL,51843910,EL,ESTEE LAUDER,2019-12-31,QTR,EPS,2.11,2020-02-06
EL,51843910,EL,ESTEE LAUDER,2020-03-31,QTR,EPS,0.85,2020-05-01
EL,51843910,EL,ESTEE LAUDER,2020-06-30,QTR,EPS,-0.53,2020-08-20
EL,51843910,EL,ESTEE LAUDER,2020-09-30,QTR,EPS,1.44,2020-11-02
EL,51843910,EL,ESTEE LAUDER,2020-12-31,QTR,EPS,2.61,2021-02-05
EL,51843910,EL,ESTEE LAUDER,2021-03-31,QTR,EPS,1.62,2021-05-03
EL,51843910,EL,ESTEE LAUDER,2021-06-30,QTR,EPS,0.78,2021-08-19
EL,51843910,EL,ESTEE LAUDER,2021-09-30,QTR,EPS,1.89,2021-11-02
EL,51843910,EL,ESTEE LAUDER,2021-12-31,QTR,EPS,3.01,2022-02-03
EL,51843910,EL,ESTEE LAUDER,2022-03-31,QTR,EPS,1.9,2022-05-03
EL,51843910,EL,ESTEE LAUDER,2022-06-30,QTR,EPS,0.42,2022-08-18
EL,51843910,EL,ESTEE LAUDER,2022-09-30,QTR,EPS,1.37,2022-11-02
EL,51843910,EL,ESTEE LAUDER,2022-12-31,QTR,EPS,1.54,2023-02-02
EL,51843910,EL,ESTEE LAUDER,2023-03-31,QTR,EPS,0.47,2023-05-03
EL,51843910,EL,ESTEE LAUDER,2023-06-30,QTR,EPS,0.07,2023-08-18
EL,51843910,EL,ESTEE LAUDER,2023-09-30,QTR,EPS,0.11,2023-11-01
EL,51843910,EL,ESTEE LAUDER,2023-12-31,QTR,EPS,0.88,2024-02-05
EL,51843910,EL,ESTEE LAUDER,2024-03-31,QTR,EPS,0.97,2024-05-01
EL,51843910,EL,ESTEE LAUDER,2024-06-30,QTR,EPS,0.64,2024-08-19
EL,51843910,EL,ESTEE LAUDER,2024-09-30,QTR,EPS,0.14,2024-10-31
EL,51843910,EL,ESTEE LAUDER,2024-12-31,QTR,EPS,0.62,2025-02-04
EL,51843910,EL,ESTEE LAUDER,2025-03-31,QTR,EPS,0.65,2025-05-01
EL,51843910,EL,ESTEE LAUDER,2025-06-30,QTR,EPS,0.09,2025-08-20
EL,51843910,EL,ESTEE LAUDER,2025-09-30,QTR,EPS,0.32,2025-10-30
EL,51843910,EL,ESTEE LAUDER,2025-12-31,QTR,EPS,0.89,2026-02-05
ELF,83365840,ELF,SOCIETE NATIONAL,1988-03-31,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1988-06-30,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1988-09-30,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1988-12-31,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1989-03-31,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1989-06-30,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1989-09-30,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1989-12-31,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1990-03-31,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1990-06-30,QTR,EPS,2.14,1991-10-10
ELF,83365840,ELF,SOCIETE NATIONAL,1990-09-30,QTR,EPS,,
ELF,83365840,ELF,SOCIETE NATIONAL,1990-12-31,QTR,EPS,2.16,1991-10-10
